product_rating,total_reviews,purchased_last_month,discounted_price,original_price,is_sponsored,discount_percentage,product_category_Cameras,product_category_Chargers & Cables,product_category_Gaming,product_category_Headphones,product_category_Laptops,product_category_Networking,product_category_Other Electronics,product_category_Phones,product_category_Power & Batteries,product_category_Printers & Scanners,product_category_Smart Home,product_category_Speakers,product_category_Storage,product_category_TV & Display,product_category_Wearables,is_best_seller_Amazon's,is_best_seller_Best Seller,is_best_seller_Ends in,is_best_seller_Limited time deal,is_best_seller_No Badge,is_best_seller_Save 12%,is_best_seller_Save 17%,is_best_seller_Save 18%,is_best_seller_Save 30%,product_category_label,sales_volume,sales_revenue,discount_flag
4.6,375,300,89.68,159,1,43.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Phones,300,26904.000000000004,Discounted
4.3,2457,6000,9.99,15.99,1,37.52,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Laptops,6000,59940,Discounted
4.6,3044,2000,314,349,1,10.03,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Laptops,2000,628000,Discounted
4.6,35882,10000,162.24,162.24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Phones,10000,1622400,No Discount
4.8,28988,10000,72.74,72.74,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Phones,10000,727400,No Discount
4.6,44522,100000,99.95,99.95,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Other Electronics,100000,9995000,No Discount
4.5,13466,10000,88.11,88.11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Phones,10000,881100,No Discount
4.6,38105,10000,23.04,23.04,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Phones,10000,230400,No Discount
4.7,7308,10000,284.05,284.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Cameras,10000,2840500,No Discount
4.7,865598,100000,14.99,14.99,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Laptops,100000,1499000,No Discount
4.8,1914,10000,880.95,880.95,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Laptops,10000,8809500,No Discount
4.2,152,100,29.99,29.99,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Phones,100,2999,No Discount
4.4,12076,1000,249.99,249.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Storage,1000,249990,No Discount
4.7,7235,500,69.95,69.95,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Cameras,500,34975,No Discount
